2013,Rush,8.3,A re-creation of the merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,7380
2013,The Hunger Games: Catching Fire,,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,8760
2013,Insidious: Chapter 2,7.1,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,6360
2014,X-Men: Days of Future Past,,The X-Men send Wolverine to the past to change a major historical event that could globally impact man and mutant kind.,
2014,Transformers: Age of Extinction,,A mechanic and his daughter make a discovery that brings down Autobots and Decepticons - and a paranoid government official - on them.,
2013,Now You See Me,7.3,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,6900
2013,Gravity,8.2,A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.,5400
2013,We're the Millers,7.2,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,6600
2013,The Great Gatsby,7.3,A Midwestern war veteran finds himself drawn to the past and lifestyle of his millionaire neighbor.,8580
2014,The Amazing Spider-Man 2,,Spider-Man squares off against the Rhino and the powerful Electro while struggling to keep his promise to leave Gwen Stacey out of his dangerous life.,
2013,The Conjuring,7.7,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,6720
2013,Cloudy with a Chance of Meatballs 2,6.7,Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational and is churning out menacing food-animal hybrids.,5700
2013,I Spit on Your Grave 2,5.5,,6360
2013,No se Aceptan Devoluciones,6.9,A man who has made a new life for himself and the daughter left on his doorstep 6 years ago finds his family threatened when the birth mother resurfaces.,6900
2013,Furious 6,7.2,Hobbs has Dom and Brian reassemble their crew in order to take down a mastermind who commands an organization of mercenary drivers across 12 countries. Payment? Full pardons for them all.,7800
2013,Machete Kills,6.3,The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,6420
2013,The World's End,7.5,Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.,6540
2013,Epic,6.6,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world -- and ours.,6120
